timestep,rmse_model_mean,rmse_model_sd,rmse_base_mean,rmse_base_sd
237,25.012106,3.1353447,232.72775,7.146629
238,25.244678,3.2586536,232.16118,7.169371
239,25.742619,3.2436109,231.59395,7.188807
240,26.138056,2.8493257,231.02628,7.2050023
241,26.19605,2.8014436,230.4583,7.2179904
242,26.521145,3.1252642,229.89018,7.2277503
243,26.964874,3.2662716,229.32195,7.2342606
244,27.142893,3.2177212,228.75366,7.2375073
245,27.236795,3.2779987,228.18527,7.2375417
246,27.40362,3.3660614,227.61679,7.2344685
247,27.79719,3.3168712,227.04813,7.228412
248,27.858204,3.2826138,226.4792,7.2194996
249,27.996668,3.441663,225.90987,7.2078924
250,28.529408,3.615145,225.34018,7.193786
251,28.916864,3.7898338,224.77007,7.1773677
252,29.129318,3.720616,224.19951,7.158841
253,29.229212,3.825549,223.62854,7.1383743
254,29.701523,3.7352462,223.05733,7.1160793
255,30.122494,3.5991175,222.48604,7.092037
256,30.465464,3.538611,221.91484,7.0663195
257,30.709995,3.156161,221.34396,7.039062
258,30.888165,3.1938062,220.77348,7.010482
259,31.15453,3.5432813,220.20341,6.9809017
260,31.29984,3.705526,219.63382,6.950653
261,31.407404,3.8832462,219.06473,6.9200144
262,31.488575,3.9266295,218.49614,6.889116
263,31.777863,3.925951,217.92802,6.8579035
264,32.201996,3.8685365,217.36014,6.8262134
265,33.064114,3.8010185,216.79224,6.7938704
266,33.03327,3.6175246,216.22424,6.7607765
267,33.30039,3.903035,215.6561,6.727043
268,33.582466,4.181273,215.08806,6.6929493
269,33.58912,4.043997,214.52023,6.6588807
270,34.159035,4.1965,213.95285,6.6252494
271,34.597725,4.235965,213.38594,6.592377
272,34.794716,4.0879083,212.8195,6.5603504
273,35.230907,4.306239,212.25357,6.5291057
274,35.489204,4.489752,211.68803,6.4985113
275,35.805225,4.5703206,211.12317,6.4685183
276,36.31031,4.7381086,210.55908,6.43927
277,36.469967,4.5737157,209.99602,6.411047
278,36.80217,4.773014,209.43428,6.3842044
279,37.254925,4.6975565,208.87405,6.359091
280,37.89528,4.997554,208.3157,6.3358746
281,38.083855,4.872095,207.75967,6.31454
282,38.28429,4.951466,207.20639,6.2948217
283,38.55334,4.915473,206.65633,6.2762465
284,38.958324,4.792088,206.10991,6.2583275
285,39.16459,4.954096,205.56772,6.24065
286,39.68381,5.107597,205.03035,6.223011
287,40.027214,5.2472982,204.4985,6.205394
288,40.471684,5.245614,203.97275,6.187819
289,40.72558,5.328869,203.45374,6.1702247
290,41.130005,5.4378657,202.94193,6.1523237
291,41.36931,5.3913054,202.43768,6.1336823
292,41.782047,5.4308305,201.94144,6.1138015
293,42.052773,5.400663,201.45354,6.092319
294,42.757114,5.8497252,200.97432,6.0691175
295,43.49021,5.733608,200.50412,6.0443025
296,43.88526,5.910877,200.04309,6.0180607
297,43.973274,6.218512,199.59137,5.9904995
298,44.49719,6.0496783,199.14914,5.96161
299,44.935223,6.069339,198.71675,5.9313145
300,45.353184,6.271081,198.29485,5.8995957
301,45.745193,6.4744635,197.88416,5.8665214
302,46.34414,6.825494,197.48553,5.8323135
303,46.86257,6.856486,197.09964,5.797185
304,47.137123,7.130145,196.72685,5.7613106
305,47.43651,7.552277,196.36734,5.724781
306,47.98224,7.343784,196.02112,5.687672
307,48.662357,7.374362,195.68819,5.6500287
308,49.255707,7.726101,195.36868,5.6119514
309,49.907448,7.6162505,195.0629,5.5735445
310,50.735634,7.520891,194.77112,5.5348744
311,51.083595,7.596176,194.49374,5.4959936
312,51.697742,8.117638,194.23105,5.4569182
313,52.249077,7.8099847,193.98329,5.417653
314,52.599327,7.790277,193.75066,5.3781543
315,53.56549,8.350521,193.53333,5.338343
316,54.2203,8.605544,193.33151,5.298051
317,54.66491,8.732279,193.14539,5.257071
318,54.9394,9.291816,192.97525,5.2151546
319,55.95863,9.519986,192.82147,5.1720934
320,56.499706,9.484269,192.68452,5.1277375
321,56.793175,9.757373,192.56493,5.0820546
322,56.920856,9.6780615,192.46304,5.0350513
323,57.369385,9.889128,192.3792,4.986789
324,58.164116,9.8272085,192.31369,4.9373493
325,58.93578,10.31493,192.26685,4.8868613
326,59.603546,10.484783,192.23923,4.8355927
327,60.698902,10.43726,192.23161,4.784096
328,61.661957,10.382329,192.24512,4.7332067
329,62.213005,10.1761055,192.2808,4.684153
330,62.835125,10.454373,192.33977,4.6385107
331,63.51754,10.946811,192.42296,4.5981874
332,64.84275,10.881917,192.53104,4.5653486
333,65.33537,11.212725,192.66441,4.542329
334,66.09779,11.806145,192.82336,4.531606
335,67.202286,11.61519,193.00813,4.5357766
336,68.23317,11.776839,193.21896,4.5575304
337,68.8274,12.051618,193.45627,4.599587
338,69.74107,12.217845,193.72058,4.664606
339,70.21006,12.351502,194.01253,4.7549887
340,71.052185,12.551283,194.33278,4.872697
341,72.05095,12.542233,194.6822,5.019187
342,73.21302,12.920555,195.06195,5.1953406
343,73.85051,13.120524,195.47348,5.4015846
344,74.74815,13.125169,195.91867,5.6381307
345,75.77034,13.058082,196.39969,5.905122
346,77.01131,13.176787,196.91884,6.2027183
347,78.26092,13.419932,197.47864,6.5310535
348,79.13048,13.702898,198.08139,6.8901944
349,80.09044,14.014708,198.7295,7.2800646
350,81.02402,14.132088,199.42514,7.7005873
351,82.611984,14.430708,200.17038,8.151733
352,84.1723,14.592853,200.96721,8.633605
353,84.752945,15.293764,201.81767,9.146415
354,85.4833,15.292448,202.7239,9.690414
355,86.15403,15.391934,203.68808,10.26569
356,87.55049,15.626975,204.71252,10.871976
357,88.60939,15.782737,205.79973,11.508543
358,89.51178,16.02781,206.9523,12.174213
359,90.95392,15.932507,208.17268,12.867396
360,92.0716,15.99648,209.46323,13.586211
361,93.01723,16.027615,210.82585,14.328525
362,94.09778,16.247345,212.26212,15.091993
363,95.2147,16.448715,213.77327,15.87416
364,96.20835,16.63549,215.36043,16.672466
365,97.44591,16.446249,217.02486,17.484318
366,98.59413,16.91659,218.76787,18.307125
367,100.30404,17.479673,220.59085,19.138374
368,101.45567,17.317907,222.49503,19.975655
369,102.30113,17.46831,224.48157,20.816788
370,103.19203,17.45176,226.55191,21.659893
371,103.99097,17.203602,228.70776,22.503536
372,105.115616,17.188736,230.95142,23.346697
373,106.02012,17.223923,233.28568,24.18874
374,107.76042,17.417969,235.71378,25.029259
375,109.186424,17.345045,238.23885,25.867903
376,110.58596,17.571726,240.8637,26.70423
377,111.80239,17.63694,243.5905,27.537539
378,113.14238,17.334469,246.42049,28.366796
379,114.24912,17.147505,249.35416,29.190556
380,115.821976,17.905155,252.3914,30.007051
381,117.14064,17.569628,255.53181,30.814363
382,118.257385,17.298048,258.77475,31.610636
383,119.92495,17.655918,262.11942,32.39414
384,121.08678,17.937422,265.56476,33.163364
385,122.07243,17.933678,269.10907,33.91698
386,123.12042,17.795542,272.7503,34.65387
387,124.26231,17.988527,276.48553,35.373386
388,126.04474,18.618706,280.31158,36.075565
389,127.535416,18.748701,284.2253,36.761513
390,128.94032,18.197845,288.22403,37.433372
391,130.85094,18.81205,292.30576,38.094193
392,131.9275,19.162342,296.46933,38.74737
393,132.91512,18.367056,300.71362,39.395992
394,133.65092,18.371775,305.03693,40.04204
395,134.13858,18.738705,309.4362,40.68573
396,135.27621,18.622389,313.90646,41.32516
397,136.41724,18.919325,318.4416,41.956497
398,137.1086,18.604769,323.03445,42.57453
399,137.90794,18.814096,327.67868,43.173744
400,138.89665,19.234354,332.36948,43.74926
401,139.81999,18.990599,337.10443,44.297752
402,140.36792,18.726086,341.88324,44.81783
403,140.72072,18.683132,346.70697,45.31006
