timestep,rmse_model_mean,rmse_model_sd,rmse_base_mean,rmse_base_sd
200,20.585958,2.3670764,27.513702,2.5161095
201,20.902918,2.2924707,27.358576,2.4695907
202,20.573483,2.4431424,27.20168,2.4249458
203,20.43789,2.4891346,27.043982,2.3825223
204,20.481144,2.3192015,26.886387,2.3425877
205,20.737293,2.5485008,26.72969,2.3054016
206,20.591425,2.3471355,26.574627,2.2711337
207,20.70924,2.1974127,26.421926,2.239682
208,20.918812,2.282724,26.272308,2.210597
209,20.508423,2.2149048,26.126446,2.1832433
210,20.526512,2.5102816,25.984966,2.157102
211,20.632164,2.5353453,25.848444,2.132016
212,20.481434,2.3754134,25.717518,2.1082048
213,20.518063,2.1728399,25.592897,2.086057
214,20.875557,2.3165867,25.475403,2.0658526
215,20.961243,1.9729087,25.36582,2.0476477
216,20.723505,1.8771011,25.264835,2.0314608
217,21.303127,1.8997681,25.172993,2.0175638
218,21.112162,2.35655,25.090858,2.0067413
219,21.289303,2.1710258,25.019121,2.0002475
220,21.064281,2.267119,24.95864,1.9995517
221,21.179821,2.3217833,24.910336,2.0059333
222,21.205296,2.5287254,24.87506,2.0201778
223,21.518898,2.3985634,24.85349,2.0425127
224,21.945293,2.9149756,24.846186,2.0728688
225,22.224148,3.1877952,24.853748,2.111324
226,21.839508,2.6192784,24.877048,2.1584213
227,21.442503,2.5690944,24.917261,2.2150693
228,21.588766,2.902751,24.975798,2.2820845
229,21.640509,2.792513,25.054031,2.3598201
230,22.073307,2.9778564,25.153072,2.448128
231,22.069626,3.315322,25.273705,2.5465913
232,21.874846,3.4997714,25.416492,2.6547751
233,22.460285,3.3720608,25.58202,2.7722857
234,22.755886,3.6214523,25.77102,2.8987672
235,22.85402,3.6994343,25.984356,3.0338762
236,23.203081,3.9055364,26.222874,3.1772506
237,23.325691,3.9137337,26.487162,3.3283863
238,23.405216,3.6365027,26.777485,3.486451
239,23.872295,3.7187355,27.093897,3.6502032
240,24.283518,3.8776743,27.436453,3.8181057
241,24.080324,3.9159498,27.805363,3.9885852
242,24.644773,4.4899583,28.200993,4.1603127
243,25.051737,4.5228686,28.623697,4.3323374
244,25.244263,4.794229,29.073654,4.5040545
245,25.435493,5.1820045,29.55074,4.6750317
246,25.823185,4.8609605,30.054468,4.84477
247,26.1749,5.2764235,30.584024,5.012494
248,26.14007,5.516104,31.138367,5.1770535
249,27.166178,5.7353196,31.716358,5.3369956
250,27.430777,5.5243993,32.316765,5.4907913
251,27.342169,5.5836034,32.93822,5.6370564
252,28.00116,5.8818536,33.579056,5.7745776
253,28.587885,6.0080137,34.237236,5.902246
254,28.76301,6.1876636,34.910393,6.0189376
255,28.767035,6.280579,35.59607,6.123558
256,29.413275,6.594401,36.291946,6.2151747
257,29.73914,6.906645,36.99614,6.2932363
258,30.269613,6.5669217,37.70727,6.35772
259,30.791407,6.917389,38.424316,6.409171
260,30.96993,6.895172,39.14638,6.4485784
261,31.249191,6.8685856,39.872482,6.4770937
262,31.632198,7.1335816,40.601543,6.495806
263,32.20635,7.2467375,41.332466,6.5056105
264,32.82682,7.496833,42.064205,6.507198
265,33.162106,7.7773075,42.795696,6.5010834
266,33.239063,7.8947306,43.525696,6.487636
267,34.094574,7.9177785,44.252666,6.4671144
268,34.49295,7.7814817,44.97489,6.439768
269,34.826332,7.6143847,45.690556,6.406041
270,35.439037,8.008648,46.397797,6.3667483
271,35.391327,7.8628097,47.094555,6.3231945
272,35.721977,8.432351,47.778526,6.2772455
273,36.412422,8.653495,48.447334,6.231333
274,36.502926,8.722325,49.09894,6.188467
275,37.126022,9.0128355,49.73199,6.1521
276,38.0064,8.991961,50.34597,6.1258607
277,37.789467,9.581627,50.941063,6.1132174
278,38.15577,9.603333,51.518013,6.117234
279,39.640736,9.500629,52.077892,6.140532
280,39.8778,9.827314,52.62211,6.1854477
281,40.369713,9.856149,53.152416,6.2541895
282,41.28466,10.413055,53.67094,6.348742
283,41.96282,10.963699,54.180115,6.4704995
284,42.15045,10.847293,54.682564,6.6197286
285,42.852085,11.399823,55.18104,6.7953362
286,43.53141,11.570369,55.678356,6.995029
287,43.949234,11.641711,56.17754,7.2159
288,44.436474,11.726449,56.682087,7.455061
289,45.16056,11.961723,57.196186,7.709944
290,45.923645,12.07911,57.724792,7.978141
291,46.629665,12.303998,58.27353,8.256993
292,47.23543,12.478353,58.848442,8.543399
293,48.034344,12.831042,59.455772,8.834039
294,48.80355,12.677019,60.101612,9.125894
295,49.70551,12.585187,60.79165,9.416662
296,49.948128,13.109944,61.531,9.704805
297,50.96566,13.151344,62.324127,9.989318
298,51.01449,12.763686,63.174965,10.269386
299,51.982124,13.629059,64.08699,10.544115
300,52.52898,14.147461,65.06297,10.812345
301,52.978046,13.667516,66.10439,11.072547
302,53.799713,13.692187,67.21078,11.322813
303,54.885437,14.309865,68.37922,11.56093
304,55.096313,14.433135,69.604454,11.784557
305,56.2172,14.647003,70.879684,11.991391
306,57.594593,14.974494,72.19769,12.1792555
307,58.06466,15.512618,73.55174,12.3461275
308,57.857445,15.392727,74.93605,12.490315
309,58.83504,14.925182,76.34572,12.610707
310,60.06122,16.342566,77.776474,12.707027
311,60.83616,16.86583,79.22446,12.77996
312,60.67506,16.527763,80.6858,12.831036
313,62.484417,16.597698,82.1563,12.862333
314,63.151337,17.239609,83.63113,12.875948
315,63.36207,17.41891,85.10447,12.873355
316,64.520935,17.170732,86.5697,12.855086
317,65.33068,17.127073,88.0199,12.820907
318,65.4469,17.285076,89.448494,12.770583
319,65.264275,17.68294,90.84998,12.704683
320,66.47897,17.856739,92.22044,12.624847
321,67.6292,18.015333,93.557495,12.533362
322,68.02925,18.436523,94.85983,12.432517
323,68.33208,18.379175,96.12664,12.324163
324,68.883514,18.605143,97.35713,12.209789
325,69.554565,18.359407,98.55022,12.090771
326,70.42311,18.431658,99.70445,11.968556
327,71.092606,18.052113,100.81816,11.844664
328,71.768005,18.157385,101.88969,11.720746
329,72.733505,18.534752,102.91774,11.598641
330,73.3162,18.730633,103.90176,11.480488
331,73.60831,17.990866,104.84216,11.3687105
332,74.14337,17.505333,105.740524,11.265973
333,75.021774,17.841087,106.59922,11.175025
334,75.65072,18.333328,107.42108,11.098495
335,76.41182,17.861916,108.208755,11.038561
336,77.11818,17.381317,108.96462,10.996737
337,77.6841,16.803568,109.69084,10.973796
338,77.99046,17.821493,110.38959,10.970011
339,77.64586,18.387945,111.06307,10.985405
340,78.08392,18.492346,111.71356,11.019929
341,78.10124,18.26767,112.343216,11.073427
342,79.75792,18.764885,112.95426,11.145589
343,80.41019,18.232548,113.549194,11.236018
344,80.959274,18.326248,114.13088,11.34432
345,80.73502,19.202538,114.70232,11.470248
346,81.6061,18.923082,115.266556,11.613702
347,82.386375,18.887459,115.82644,11.774587
348,82.8701,18.810163,116.384705,11.952603
349,83.691696,19.313557,116.94386,12.147112
350,84.42928,19.83447,117.50621,12.357039
351,85.6304,19.516445,118.07387,12.581057
352,85.58868,19.614695,118.64907,12.817898
353,86.82156,19.641989,119.23441,13.06668
354,87.52524,20.760895,119.833115,13.327085
355,88.05302,20.307215,120.44908,13.599143
356,89.22424,20.773624,121.08655,13.8828945
357,91.05568,21.19107,121.74983,14.178092
358,91.193245,21.705502,122.44309,14.484248
359,91.91473,22.286673,123.17025,14.800729
360,93.19202,22.005991,123.93502,15.126845
361,94.12038,22.934967,124.7405,15.461719
362,94.62932,23.032177,125.58916,15.804059
363,95.499245,22.748745,126.48268,16.152168
364,97.1501,23.91759,127.422264,16.503904
365,98.18547,24.132303,128.4087,16.856604
366,98.40517,24.045784,129.4422,17.206612
367,99.29328,24.308975,130.52179,17.548697
368,100.2809,24.976982,131.64499,17.875845
369,100.38764,24.793653,132.80772,18.179802
370,100.76393,24.844015,134.00504,18.452324
371,102.80625,25.318483,135.23193,18.686764
372,103.83608,24.863121,136.48427,18.879286
373,104.311905,25.637941,137.75883,19.02923
374,105.264565,26.178772,139.05286,19.138496
375,106.40066,25.615355,140.36319,19.21049
376,107.16936,24.986578,141.68564,19.249271
377,107.85277,25.90769,143.01501,19.259396
378,108.506516,25.656027,144.34543,19.24594
379,109.43571,24.888126,145.67046,19.214504
380,110.419334,26.067667,146.98318,19.170893
381,110.878944,25.835342,148.27614,19.120457
382,111.67012,26.335224,149.54118,19.067629
383,112.72829,26.475842,150.77042,19.015537
384,113.27364,26.005493,151.95708,18.965826
385,113.18213,26.411005,153.09615,18.918861
386,114.12004,26.44347,154.18408,18.874334
387,115.044334,26.463507,155.21806,18.831717
388,115.78233,25.809868,156.19522,18.790096
389,116.05293,26.196863,157.11296,18.747458
390,116.423195,26.732552,157.9697,18.700047
391,117.10823,27.086117,158.76555,18.64237
392,117.64286,26.587036,159.5026,18.56822
393,118.26788,25.833277,160.18436,18.472036
394,118.670105,27.3715,160.81456,18.34979
395,119.056335,28.030975,161.39539,18.199072
396,120.45447,27.723656,161.9267,18.018688
397,120.74077,27.968542,162.4061,17.808321
398,120.50376,27.669664,162.82964,17.56844
399,121.268654,27.346252,163.19263,17.300112
400,122.02144,27.18943,163.48969,17.004612
401,122.16815,27.869772,163.71472,16.683233
402,122.56217,27.6784,163.86111,16.337376
403,122.79885,27.23367,163.9227,15.968849
404,123.50151,27.608189,163.89507,15.580153
405,123.59682,27.248796,163.77577,15.174511
406,123.28469,25.978456,163.56345,14.755957
407,123.763016,26.013222,163.2565,14.329606
408,124.24986,26.052595,162.85252,13.901905
409,123.84585,24.749588,162.34915,13.480428
410,123.7515,24.310368,161.74548,13.072993
411,123.60954,24.3611,161.04372,12.686222
412,122.84121,23.242434,160.2493,12.324447
413,122.44914,22.35999,159.36984,11.989445
414,121.89441,22.103062,158.41327,11.68082
415,121.87644,21.557793,157.38623,11.396952
416,120.85726,20.797058,156.29312,11.136314
417,120.70177,20.930452,155.13606,10.898732
418,120.80109,21.599545,153.91536,10.686398
419,120.22801,20.481775,152.6303,10.504056
420,118.71116,19.589445,151.28041,10.358078
421,118.83415,18.863049,149.8671,10.254324
422,117.79038,19.289429,148.39595,10.195604
423,116.678734,18.959347,146.87796,10.180107
424,115.94946,18.536089,145.32903,10.201524
425,114.569275,18.311996,143.767,10.250697
426,113.591225,17.646708,142.20708,10.3175955
427,112.95054,16.876892,140.65788,10.392579
428,111.80908,16.26176,139.11955,10.466653
429,110.789856,16.799576,137.58545,10.531957
430,108.81706,15.577911,136.04578,10.583071
431,108.14634,14.438255,134.49136,10.618887
432,107.871506,14.390474,132.9162,10.6437645
433,106.776024,14.340714,131.31859,10.666647
434,105.22003,13.921725,129.70164,10.697956
435,104.514175,13.993449,128.07338,10.745696
436,102.95748,14.251377,126.44661,10.812473
437,101.58415,14.008916,124.83728,10.8946495
438,100.53265,13.669014,123.261635,10.98296
439,98.68207,13.588927,121.73262,11.063386
440,97.764725,13.9300375,120.25716,11.118195
441,96.499,13.539126,118.83528,11.127737
442,95.48079,13.017411,117.46159,11.073859
443,94.376274,13.3842945,116.12791,10.944402
444,93.33142,13.397031,114.82646,10.737072
445,92.17578,12.684285,113.55227,10.460816
446,91.23358,12.962572,112.30446,10.13393
447,90.334114,13.251042,111.08669,9.779573
448,89.41076,12.77048,109.90637,9.420525
449,89.13231,12.523592,108.77289,9.074926
